id,verse_id,word_position,text_arabic,transliteration,translation_english,created_at,updated_at,grammar_info
1957,406,2,ٱلۡقَارِعَةُ,Lqāriʿatu,The Striking Calamity,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:58.967242+00,"{""case"":""nominative"",""features"":[""root:قرع"",""nominative""],""part_of_speech"":""Noun""}"
1958,407,1,وَمَآ,Wamā,And what,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.1006+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1959,407,2,أَدۡرَىٰكَ,Adrāka,Will make you know,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.150743+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:دري""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""second""}"
1960,407,3,مَا,Mā,What,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.193093+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1961,407,4,ٱلۡقَارِعَةُ,Lqāriʿatu,The Striking Calamity,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.235923+00,"{""case"":""nominative"",""features"":[""root:قرع"",""nominative""],""part_of_speech"":""Noun""}"
1962,408,1,يَوۡمَ,Yawma,Day,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.3819+00,"{""case"":""accusative"",""features"":[""root:يوم"",""accusative""],""part_of_speech"":""Noun""}"
1963,408,2,يَكُونُ,Yakūnu,Will be,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.429568+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""root:كون"",""masculine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
1964,408,3,ٱلنَّاسُ,Lnāsu,The mankind,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.472592+00,"{""case"":""nominative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:أنس"",""masculine plural"",""nominative""],""part_of_speech"":""Noun""}"
1965,408,4,كَٱلۡفَرَاشِ,Kalfarāshi,Like moths,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.520925+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
1966,408,5,ٱلۡمَبۡثُوثِ,Lmabthūthi,Scattered,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.566688+00,"{""case"":""genitive"",""features"":[""root:بثث"",""genitive""],""part_of_speech"":""Noun""}"
1967,409,1,وَتَكُونُ,Watakūnu,And will be,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.719459+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""root:كون"",""feminine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
1968,409,2,ٱلۡجِبَالُ,Ljibālu,The mountains,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.767308+00,"{""case"":""nominative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:جبل"",""masculine plural"",""nominative""],""part_of_speech"":""Noun""}"
1969,409,3,كَٱلۡعِهۡنِ,Kalʿih'ni,Like wool,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.810417+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
1970,409,4,ٱلۡمَنفُوشِ,Lmanfūshi,Fluffed up,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.852812+00,"{""case"":""genitive"",""features"":[""root:نفش"",""genitive""],""part_of_speech"":""Noun""}"
1971,410,1,فَأَمَّا,Faammā,Then as for,2025-12-07 00:11:26.527356+00,2025-12-09 00:00:59.988349+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1972,410,2,مَن,Man,Whose,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.033792+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1973,410,3,ثَقُلَتۡ,Thaqulat,Heavy,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.084111+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""gender"":""feminine"",""number"":""singular"",""person"":""first"",""features"":[""root:ثقل"",""feminine singular""],""part_of_speech"":""Verb""}"
1974,410,4,مَوَٰزِينُهُۥ,Mawāzīnuhu,His scales,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.132604+00,"{""case"":""nominative"",""features"":[""noun"",""pronoun"",""root:وزن""],""part_of_speech"":""noun_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
1975,411,1,فَهُوَ,Fahuwa,Then he,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.278542+00,"{""gender"":""masculine"",""number"":""singular"",""features"":[""masculine singular""],""part_of_speech"":""Noun""}"
1976,411,2,فِي,Fī,In,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.344947+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1977,411,3,عِيشَةٖ,ʿīshatin,A life,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.391107+00,"{""case"":""genitive"",""features"":[""root:عيش"",""genitive""],""part_of_speech"":""Noun""}"
1978,411,4,رَّاضِيَةٖ,Rāḍiyatin,Pleasant,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.438931+00,"{""case"":""genitive"",""features"":[""root:رضو"",""genitive""],""part_of_speech"":""Noun""}"
1979,412,1,وَأَمَّا,Waammā,But as for,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.593404+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1980,412,2,مَنۡ,Man,Whose,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.63919+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1981,412,3,خَفَّتۡ,Khaffat,Light,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.685734+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""gender"":""feminine"",""number"":""singular"",""person"":""first"",""features"":[""root:خفف"",""feminine singular""],""part_of_speech"":""Verb""}"
1982,412,4,مَوَٰزِينُهُۥ,Mawāzīnuhu,His scales,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.730845+00,"{""case"":""nominative"",""features"":[""noun"",""pronoun"",""root:وزن""],""part_of_speech"":""noun_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
1983,413,1,فَأُمُّهُۥ,Faummuhu,His abode,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.863644+00,"{""case"":""nominative"",""features"":[""noun"",""pronoun"",""root:أمم""],""part_of_speech"":""noun_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
1984,413,2,هَاوِيَةٞ,Hāwiyatun,Pit,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:00.908874+00,"{""case"":""nominative"",""features"":[""root:هوي"",""nominative""],""part_of_speech"":""Noun""}"
1985,414,1,وَمَآ,Wamā,And what,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.046392+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1986,414,2,أَدۡرَىٰكَ,Adrāka,Will make you know,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.094697+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:دري""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""second""}"
1987,414,3,مَا,Mā,What,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.135609+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
1988,414,4,هِيَهۡ,Hiyah,It is,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.184515+00,"{""gender"":""feminine"",""number"":""singular"",""features"":[""feminine singular""],""part_of_speech"":""Noun""}"
1989,415,1,نَارٌ,Nārun,A Fire,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.321944+00,"{""case"":""nominative"",""features"":[""root:نور"",""nominative""],""part_of_speech"":""Noun""}"
1990,415,2,حَامِيَةُۢ,Ḥāmiyatun,Intensely hot,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.369465+00,"{""case"":""nominative"",""features"":[""root:حمي"",""nominative""],""part_of_speech"":""Noun""}"
1991,416,1,أَلۡهَىٰكُمُ,Alhākumu,Diverts you,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.630646+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:لهو""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""second""}"
1992,416,2,ٱلتَّكَاثُرُ,Ltakāthuru,The competition to increase,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.6805+00,"{""case"":""nominative"",""features"":[""root:كثر"",""nominative""],""part_of_speech"":""Noun""}"
1993,417,1,حَتَّىٰ,Ḥattā,Until,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.828946+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1994,417,2,زُرۡتُمُ,Zur'tumu,You visit,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.881032+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:زور""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""second""}"
1995,417,3,ٱلۡمَقَابِرَ,Lmaqābira,The graves,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:01.934351+00,"{""case"":""accusative"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:قبر"",""masculine plural"",""accusative""],""part_of_speech"":""Noun""}"
1996,418,1,كَلَّا,Kallā,Nay,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.082425+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1997,418,2,سَوۡفَ,Sawfa,Soon,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.132601+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
1998,418,3,تَعۡلَمُونَ,Taʿlamūna,You will know,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.179824+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:علم""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""second""}"
1999,419,1,ثُمَّ,Thumma,Then,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.328107+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2000,419,2,كَلَّا,Kallā,Nay,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.373016+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2001,419,3,سَوۡفَ,Sawfa,Soon,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.419775+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2002,419,4,تَعۡلَمُونَ,Taʿlamūna,You will know,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.512043+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:علم""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""second""}"
2003,420,1,كَلَّا,Kallā,Nay,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.817398+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2004,420,2,لَوۡ,Law,If,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.8652+00,"{""features"":[""preposition""],""part_of_speech"":""Preposition""}"
2005,420,3,تَعۡلَمُونَ,Taʿlamūna,You know,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.90803+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:علم""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""second""}"
2006,420,4,عِلۡمَ,ʿil'ma,A knowledge,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.951154+00,"{""case"":""accusative"",""features"":[""root:علم"",""accusative""],""part_of_speech"":""Noun""}"
2007,420,5,ٱلۡيَقِينِ,Lyaqīni,Certainty,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:02.994448+00,"{""case"":""genitive"",""gender"":""masculine"",""number"":""singular"",""features"":[""root:يقن"",""masculine singular"",""genitive""],""part_of_speech"":""Noun""}"
2008,421,1,لَتَرَوُنَّ,Latarawunna,Surely you will see,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.148343+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""masculine plural"",""root:رأي"",""masculine plural"",""masculine plural""],""part_of_speech"":""Verb""}"
2009,421,2,ٱلۡجَحِيمَ,Ljaḥīma,The Hellfire,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.193659+00,"{""case"":""accusative"",""features"":[""root:جحم"",""accusative""],""part_of_speech"":""Noun""}"
2010,422,1,ثُمَّ,Thumma,Then,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.392482+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2011,422,2,لَتَرَوُنَّهَا,Latarawunnahā,Surely you will see it,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.467579+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:رأي""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""feminine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
2012,422,3,عَيۡنَ,ʿayna,Eye,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.516175+00,"{""case"":""accusative"",""features"":[""root:عين"",""accusative""],""part_of_speech"":""Noun""}"
2013,422,4,ٱلۡيَقِينِ,Lyaqīni,Certainty,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.561508+00,"{""case"":""genitive"",""gender"":""masculine"",""number"":""singular"",""features"":[""root:يقن"",""masculine singular"",""genitive""],""part_of_speech"":""Noun""}"
2014,423,1,ثُمَّ,Thumma,Then,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.702381+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2015,423,2,لَتُسۡـَٔلُنَّ,Latus'alunna,Surely you will be asked,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.75376+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""masculine plural"",""root:سأل"",""masculine plural"",""passive"",""masculine plural""],""part_of_speech"":""Verb""}"
2016,423,3,يَوۡمَئِذٍ,Yawmaidhin,That Day,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.804669+00,"{""features"":[""root:يوم""],""part_of_speech"":""Noun""}"
2017,423,4,عَنِ,ʿani,About,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.85308+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2018,423,5,ٱلنَّعِيمِ,Lnaʿīmi,The pleasures,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:03.904622+00,"{""case"":""genitive"",""features"":[""root:نعم"",""genitive""],""part_of_speech"":""Noun""}"
2019,424,1,وَٱلۡعَصۡرِ,Walʿaṣri,By the time,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.174062+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
2020,425,1,إِنَّ,Inna,Indeed,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.331813+00,"{""case"":""accusative"",""features"":[""accusative""],""part_of_speech"":""Particle""}"
2021,425,2,ٱلۡإِنسَٰنَ,Linsāna,Mankind,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.380552+00,"{""case"":""accusative"",""features"":[""root:أنس"",""accusative""],""part_of_speech"":""Noun""}"
2022,425,3,لَفِي,Lafī,"Surely, in",2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.426151+00,"{""features"":[""preposition""],""part_of_speech"":""Preposition""}"
2023,425,4,خُسۡرٍ,Khus'rin,Loss,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.480851+00,"{""case"":""genitive"",""features"":[""root:خسر"",""genitive""],""part_of_speech"":""Noun""}"
2024,426,1,إِلَّا,Illā,Except,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.634077+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2025,426,2,ٱلَّذِينَ,Alladhīna,Those who,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.690048+00,"{""gender"":""masculine"",""number"":""plural"",""features"":[""masculine plural""],""part_of_speech"":""Noun""}"
2026,426,3,ءَامَنُواْ,Āmanū,Believe,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.736876+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:أمن""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
2027,426,4,وَعَمِلُواْ,Waʿamilū,And do,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.799211+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""first"",""features"":[""verb"",""pronoun"",""root:عمل""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
2028,426,5,ٱلصَّـٰلِحَٰتِ,Lṣāliḥāti,Righteous deeds,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.844561+00,"{""case"":""accusative"",""gender"":""feminine"",""number"":""plural"",""features"":[""root:صلح"",""feminine plural"",""accusative""],""part_of_speech"":""Noun""}"
2029,426,6,وَتَوَاصَوۡاْ,Watawāṣaw,And enjoin,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.895388+00,"{""form"":""6"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:وصي""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
2030,426,7,بِٱلۡحَقِّ,Bilḥaqi,To the truth,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.944803+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
2031,426,8,وَتَوَاصَوۡاْ,Watawāṣaw,And enjoin,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:04.996367+00,"{""form"":""6"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:وصي""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""plural"",""pronoun_person"":""third""}"
2032,426,9,بِٱلصَّبۡرِ,Bilṣabri,To [the] patience,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.048843+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
2033,427,1,وَيۡلٞ,Waylun,Woe,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.297107+00,"{""case"":""nominative"",""features"":[""nominative""],""part_of_speech"":""Noun""}"
2034,427,2,لِّكُلِّ,Likulli,To every,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.382857+00,"{""case"":""genitive"",""features"":[""preposition"",""noun""],""part_of_speech"":""preposition_noun""}"
2035,427,3,هُمَزَةٖ,Humazatin,Slanderer,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.442976+00,"{""case"":""genitive"",""features"":[""root:همز"",""genitive""],""part_of_speech"":""Noun""}"
2036,427,4,لُّمَزَةٍ,Lumazatin,Backbiter,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.499508+00,"{""case"":""genitive"",""features"":[""root:لمز"",""genitive""],""part_of_speech"":""Noun""}"
2037,428,1,ٱلَّذِي,Alladhī,The one who,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.701665+00,"{""gender"":""masculine"",""number"":""singular"",""features"":[""masculine singular""],""part_of_speech"":""Noun""}"
2038,428,2,جَمَعَ,Jamaʿa,Collects,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.750136+00,"{""form"":""1"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""gender"":""masculine"",""number"":""singular"",""person"":""first"",""features"":[""root:جمع"",""masculine singular""],""part_of_speech"":""Verb""}"
2039,428,3,مَالٗا,Mālan,Wealth,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.799981+00,"{""case"":""accusative"",""features"":[""root:مول"",""accusative""],""part_of_speech"":""Noun""}"
2040,428,4,وَعَدَّدَهُۥ,Waʿaddadahu,And counts it,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:05.849832+00,"{""form"":""2"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""person"":""second"",""features"":[""verb"",""pronoun"",""root:عدد""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
2041,429,1,يَحۡسَبُ,Yaḥsabu,Thinking,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.000163+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""root:حسب"",""masculine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
2042,429,2,أَنَّ,Anna,That,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.053928+00,"{""case"":""accusative"",""features"":[""accusative""],""part_of_speech"":""Particle""}"
2043,429,3,مَالَهُۥٓ,Mālahu,His wealth,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.103889+00,"{""case"":""accusative"",""features"":[""noun"",""pronoun"",""root:مول""],""part_of_speech"":""noun_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
2044,429,4,أَخۡلَدَهُۥ,Akhladahu,Will make him immortal,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.153197+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:خلد""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""third""}"
2045,430,1,كَلَّاۖ,Kallā,Nay,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.296015+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2046,430,2,لَيُنۢبَذَنَّ,Layunbadhanna,Surely he will be thrown,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.341323+00,"{""form"":""1"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""person"":""first"",""features"":[""masculine plural"",""root:نبذ"",""masculine singular"",""masculine plural"",""passive"",""masculine plural""],""part_of_speech"":""Verb""}"
2047,430,3,فِي,Fī,In,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.385722+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2048,430,4,ٱلۡحُطَمَةِ,Lḥuṭamati,The Crusher,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.433304+00,"{""case"":""genitive"",""features"":[""root:حطم"",""genitive""],""part_of_speech"":""Noun""}"
2049,431,1,وَمَآ,Wamā,And what,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.58354+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
2050,431,2,أَدۡرَىٰكَ,Adrāka,Will make you know,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.630964+00,"{""form"":""4"",""tense"":""past"",""voice"":""active"",""aspect"":""perfect"",""features"":[""verb"",""pronoun"",""root:دري""],""part_of_speech"":""verb_pronoun"",""pronoun_gender"":""masculine"",""pronoun_number"":""singular"",""pronoun_person"":""second""}"
2051,431,3,مَا,Mā,What,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.678534+00,"{""features"":[""noun""],""part_of_speech"":""Noun""}"
2052,431,4,ٱلۡحُطَمَةُ,Lḥuṭamatu,The Crusher,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.727571+00,"{""case"":""nominative"",""features"":[""root:حطم"",""nominative""],""part_of_speech"":""Noun""}"
2053,432,1,نَارُ,Nāru,A Fire,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.936405+00,"{""case"":""nominative"",""features"":[""root:نور"",""nominative""],""part_of_speech"":""Noun""}"
2054,432,2,ٱللَّهِ,Llahi,Allah,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:06.996176+00,"{""case"":""genitive"",""features"":[""root:أله"",""genitive""],""part_of_speech"":""Noun""}"
2055,432,3,ٱلۡمُوقَدَةُ,Lmūqadatu,Kindled,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.061348+00,"{""case"":""nominative"",""features"":[""root:وقد"",""nominative""],""part_of_speech"":""Noun""}"
2056,433,1,ٱلَّتِي,Allatī,Which,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.202961+00,"{""gender"":""feminine"",""number"":""singular"",""features"":[""feminine singular""],""part_of_speech"":""Noun""}"
2057,433,2,تَطَّلِعُ,Taṭṭaliʿu,Mounts up,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.251253+00,"{""form"":""8"",""mood"":""indicative"",""tense"":""present"",""voice"":""active"",""aspect"":""imperfect"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:طلع"",""feminine singular"",""masculine plural""],""part_of_speech"":""Verb""}"
2058,433,3,عَلَى,ʿalā,To,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.298529+00,"{""features"":[""particle""],""part_of_speech"":""Particle""}"
2059,433,4,ٱلۡأَفۡـِٔدَةِ,Lafidati,The hearts,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.353858+00,"{""case"":""genitive"",""gender"":""masculine"",""number"":""plural"",""features"":[""root:فأد"",""masculine plural"",""genitive""],""part_of_speech"":""Noun""}"
2060,434,1,إِنَّهَا,Innahā,"Indeed, it",2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.505535+00,"{""case"":""accusative"",""gender"":""feminine"",""number"":""singular"",""features"":[""accusative"",""feminine singular""],""part_of_speech"":""Particle""}"
2061,434,2,عَلَيۡهِم,ʿalayhim,Upon them,2025-12-07 00:11:26.527356+00,2025-12-09 00:01:07.56258+00,"{""gender"":""masculine"",""number"":""plural"",""features"":[""masculine plural""],""part_of_speech"":""Particle""}"
